Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,451.275413,-214.862913,315.000000,bottom
C2,22pF,C_0805_2012Metric,455.687500,-210.425000,135.000000,bottom
C3,1uF,C_0805_2012Metric,457.000000,-196.100000,315.000000,bottom
C4,0.1uF,C_0805_2012Metric,440.050000,-199.050000,45.000000,bottom
C5,0.1uF,C_0805_2012Metric,458.912500,-208.600000,0.000000,bottom
C6,0.1uF,C_0805_2012Metric,451.125000,-190.900000,135.000000,bottom
C7,10uF,C_0805_2012Metric,446.225000,-211.575000,135.000000,bottom
D_1,D,D_SOD-123,129.149600,-172.407000,90.000000,bottom
D_2,D,D_SOD-123,129.149600,-191.457000,90.000000,bottom
D_3,D,D_SOD-123,129.149600,-210.507000,90.000000,bottom
D_4,D,D_SOD-123,129.149600,-229.557000,90.000000,bottom
D_5,D,D_SOD-123,129.149600,-248.607000,90.000000,bottom
D_6,D,D_SOD-123,132.451600,-172.407000,90.000000,bottom
D_7,D,D_SOD-123,132.451600,-191.457000,90.000000,bottom
D_8,D,D_SOD-123,132.451600,-210.507000,90.000000,bottom
D_9,D,D_SOD-123,132.451600,-229.557000,90.000000,bottom
D_10,D,D_SOD-123,132.451600,-248.607000,90.000000,bottom
D_11,D,D_SOD-123,190.830200,-210.489800,90.000000,bottom
D_12,D,D_SOD-123,176.657000,-172.389800,90.000000,bottom
D_13,D,D_SOD-123,185.775600,-191.457000,90.000000,bottom
D_14,D,D_SOD-123,196.956800,-229.557000,90.000000,bottom
D_15,D,D_SOD-123,194.081400,-248.539000,90.000000,bottom
D_16,D,D_SOD-123,180.213000,-172.389800,90.000000,bottom
D_17,D,D_SOD-123,189.941200,-191.490600,90.000000,bottom
D_18,D,D_SOD-123,194.487800,-210.489800,90.000000,bottom
D_19,D,D_SOD-123,200.436600,-229.565200,90.000000,bottom
D_20,D,D_SOD-123,197.332600,-248.539000,90.000000,bottom
D_21,D,D_SOD-123,214.785000,-172.407000,90.000000,bottom
D_22,D,D_SOD-123,224.310000,-191.457000,90.000000,bottom
D_23,D,D_SOD-123,229.072500,-210.507000,90.000000,bottom
D_24,D,D_SOD-123,238.597500,-229.557000,90.000000,bottom
D_25,D,D_SOD-123,218.335000,-172.407000,90.000000,bottom
D_26,D,D_SOD-123,227.860000,-191.457000,90.000000,bottom
D_27,D,D_SOD-123,232.622500,-210.507000,90.000000,bottom
D_28,D,D_SOD-123,242.147500,-229.557000,90.000000,bottom
D_29,D,D_SOD-123,273.050000,-248.607000,90.000000,bottom
D_30,D,D_SOD-123,252.885000,-172.407000,90.000000,bottom
D_31,D,D_SOD-123,262.410000,-191.457000,90.000000,bottom
D_32,D,D_SOD-123,267.172500,-210.507000,90.000000,bottom
D_33,D,D_SOD-123,276.697500,-229.557000,90.000000,bottom
D_34,D,D_SOD-123,276.225000,-248.607000,90.000000,bottom
D_35,D,D_SOD-123,256.435000,-172.407000,90.000000,bottom
D_36,D,D_SOD-123,265.960000,-191.457000,90.000000,bottom
D_37,D,D_SOD-123,270.722500,-210.507000,90.000000,bottom
D_38,D,D_SOD-123,280.247500,-229.557000,90.000000,bottom
D_39,D,D_SOD-123,290.985000,-172.407000,90.000000,bottom
D_40,D,D_SOD-123,300.510000,-191.457000,90.000000,bottom
D_41,D,D_SOD-123,305.272500,-210.507000,90.000000,bottom
D_42,D,D_SOD-123,314.797500,-229.557000,90.000000,bottom
D_43,D,D_SOD-123,294.535000,-172.407000,90.000000,bottom
D_44,D,D_SOD-123,304.060000,-191.457000,90.000000,bottom
D_45,D,D_SOD-123,308.822500,-210.507000,90.000000,bottom
D_46,D,D_SOD-123,318.347500,-229.557000,90.000000,bottom
D_47,D,D_SOD-123,343.275000,-248.607000,90.000000,bottom
D_48,D,D_SOD-123,329.085000,-172.407000,90.000000,bottom
D_49,D,D_SOD-123,338.610000,-191.457000,90.000000,bottom
D_50,D,D_SOD-123,343.372500,-210.507000,90.000000,bottom
D_51,D,D_SOD-123,352.897500,-229.557000,90.000000,bottom
D_52,D,D_SOD-123,347.000000,-248.600000,90.000000,bottom
D_53,D,D_SOD-123,332.635000,-172.407000,90.000000,bottom
D_54,D,D_SOD-123,342.160000,-191.457000,90.000000,bottom
D_55,D,D_SOD-123,346.922500,-210.507000,90.000000,bottom
D_56,D,D_SOD-123,356.447500,-229.557000,90.000000,bottom
D_57,D,D_SOD-123,367.275000,-172.400000,90.000000,bottom
D_58,D,D_SOD-123,376.750000,-191.450000,90.000000,bottom
D_59,D,D_SOD-123,381.500000,-210.500000,90.000000,bottom
D_60,D,D_SOD-123,392.325000,-229.550000,90.000000,bottom
D_61,D,D_SOD-123,410.025000,-248.550000,90.000000,bottom
D_62,D,D_SOD-123,370.800000,-172.400000,90.000000,bottom
